lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,mesh_idx,strike_slip_rate,dip_slip_rate,strike_slip_rate_kinematic,dip_slip_rate_kinematic,strike_slip_coupling,dip_slip_coupling
138.502,34.7673,-10.0,138.587,34.6788,0.0,138.614,34.8131,0.0,0,-0.6611627831883322,34.55493362573091,-6.398742120224037,35.12312615960359,0.10332699314426866,0.983822837087714
138.542,34.8993,-10.0,138.502,34.7673,-10.0,138.614,34.8131,0.0,0,-0.8171645123797984,33.86533582280339,-5.908009716759236,34.33252320098558,0.13831468659602064,0.9863922795465037
138.542,34.8993,-10.0,138.614,34.8131,0.0,138.639,34.948,0.0,0,-3.1022477919862013e-09,33.6683805980286,-4.479496324808647,34.351396178055936,6.925438859733235e-10,0.9801168029244862
138.557,35.035,-10.0,138.542,34.8993,-10.0,138.639,34.948,0.0,0,-0.613016002269317,32.88607438269838,-4.211297374449317,33.41150697422241,0.1455646438051592,0.9842739032414967
138.563,35.171,-10.0,138.557,35.035,-10.0,138.638,35.084,0.0,0,-1.5725300311688082,31.56918816320879,-3.4569529770597054,32.0035171379137,0.4548890429242448,0.9864287111684243
138.557,35.035,-10.0,138.639,34.948,0.0,138.638,35.084,0.0,0,-0.4832755692156001,32.48954305771029,-3.300888605910807,33.1556114392699,0.1464077183187013,0.9799108400464995
138.502,34.7673,-10.0,138.462,34.6355,-10.0,138.587,34.6788,0.0,0,-2.0922287218143687,34.61701178218702,-8.075005666626236,34.99574231929004,0.25909935029042636,0.989177811013477
138.576,34.5441,0.0,138.587,34.6788,0.0,138.462,34.6355,-10.0,0,-1.8915458291678893,35.31890664935768,-8.360442770520395,35.86056321177636,0.22624947997223718,0.9848954808874613
137.732,33.52,-1.3620874,137.615,33.4789,-2.2460146,137.752,33.3999,0.0,0,-0.6224821878443612,33.72095287679551,-21.356017617584552,43.72844080351639,0.029147858884130583,0.7711446431011064
132.719,31.497,-7.7317186,132.811,31.3955,-5.7539373,132.849,31.519,-6.4555701,0,-0.4006909582041658,8.940853275134598,-0.8210678993215078,66.48619666105199,0.48801196409612174,0.13447683465359364
137.752,33.3999,0.0,137.812,33.4708,0.0,137.732,33.52,-1.3620874,0,-0.557292852189017,34.36418516871531,-21.979782680681566,43.25188522446441,0.02535479355211423,0.7945130019275557
137.812,33.4708,0.0,137.899,33.5512,0.0,137.732,33.52,-1.3620874,0,-1.3720185110147107,34.533024647933615,-23.37784943302327,42.15739972644403,0.05868882486156378,0.8191450343715607
132.41,30.5381,-5.1652348,132.33,30.4195,-6.6666667,132.483,30.4028,-3.3333333,0,0.35328896954497946,1.608443802128602,37.020012028227676,61.94253275128427,0.009543188945362779,0.025966710282689463
132.756,31.6229,-8.4927546,132.695,31.7015,-10.0,132.592,31.5976,-10.0,0,-0.6939089612729124,17.85629416391594,-1.8372092417660202,65.41065471661025,0.37769729516812756,0.27298754677319487
132.719,31.497,-7.7317186,132.756,31.6229,-8.4927546,132.592,31.5976,-10.0,0,0.09097101765120819,13.565635878263059,0.09097102350498935,65.87666695099749,0.9999999356522447,0.2059247455302177
137.615,33.4789,-2.2460146,137.732,33.52,-1.3620874,137.612,33.6346,-4.0220501,0,-2.2190656602648042,32.472016969234616,-21.922539173006122,43.20361438246755,0.10122302178377249,0.7516041755620354
138.419,33.9654,0.0,138.306,33.951,-2.0562268,138.323,33.8578,0.0,0,-5.486504162292736,36.870340456703474,-22.568828614600722,36.93230123892854,0.2431009715206613,0.9983223146095279
134.512,32.9285,-10.0,134.417,32.818,-10.0,134.572,32.7916,-7.9957555,0,-2.772675316159007,54.15107658642488,-7.2266319339575285,55.34971159712321,0.3836746276132267,0.9783443314136323
132.935,31.3066,-3.4288866,132.941,31.4353,-4.6884757,132.811,31.3955,-5.7539373,0,-1.2248523079476854,6.155066832420264,-1.6820206104716584,66.9089426104156,0.7282029128074848,0.09199169187680625
132.941,31.4353,-4.6884757,132.849,31.519,-6.4555701,132.811,31.3955,-5.7539373,0,-1.4304159437225223,8.673684371999526,-2.4037173307661277,66.51042153418929,0.595084923428418,0.1304109066207146
133.036,31.2431,-1.6106382,132.935,31.3066,-3.4288866,132.87,31.1848,-2.6591089,0,-0.8980501711843019,3.316687502249634,-1.122817026433714,67.42595407719442,0.7998188039922092,0.049190071503510874
133.086,31.3875,-2.5477505,133.163,31.284,-0.91063035,133.262,31.3855,0.0,0,-4.312264402181285,9.84412387395443,-5.101954447280853,66.21855551011318,0.8452181309614704,0.14866110862915144
132.664,31.3702,-7.5482615,132.542,31.4692,-10.0,132.486,31.342,-10.0,0,5.077564615361888,4.205517227087077,9.080358995626218,66.97706924597632,0.5591810431512261,0.06279040385661135
132.87,31.1848,-2.6591089,132.788,31.2775,-4.9254022,132.688,31.1515,-4.4547241,0,2.690722973328061,1.1131069065905148,3.51720370578778,67.8541509489996,0.7650176669893493,0.016404404019838757
132.756,31.6229,-8.4927546,132.719,31.497,-7.7317186,132.849,31.519,-6.4555701,0,-0.9787098768956444,12.796876354217256,-2.305358998844885,65.94742657316736,0.4245368627558802,0.19404663713479972
132.849,31.519,-6.4555701,132.876,31.6201,-7.1720434,132.756,31.6229,-8.4927546,0,-2.161050501521369,15.712700857399895,-5.30466656303091,65.52176105065199,0.4073866803584006,0.23980889105305178
132.521,31.1453,-7.043649,132.346,31.0978,-10.0,132.48,31.02,-6.7180443,0,8.95840705133339,0.10934851910029408,17.70350374213949,67.1815969610494,0.5060245238353454,0.0016276558469381468
